trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
5 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	30 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
6 	xx 	x 	x 	rdk 	2 	1 	1 	3 	20 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
7 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	20 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
8 	xx 	x 	x 	rdk 	1 	1 	1 	3 	10 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
9 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	10 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
10 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	40 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
11 	xx 	x 	x 	rdk 	1 	1 	1 	3 	20 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
12 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	10 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
13 	xx 	x 	x 	rdk 	1 	0 	1 	3 	50 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
14 	xx 	x 	x 	rdk 	2 	1 	1 	3 	50 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
15 	xx 	x 	x 	rdk 	2 	1 	1 	3 	30 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
16 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	30 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
17 	xx 	x 	x 	rdk 	1 	0 	1 	3 	40 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
18 	xx 	x 	x 	rdk 	2 	1 	1 	3 	10 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
19 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	50 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
20 	xx 	x 	x 	rdk 	2 	1 	1 	3 	40 	5 	1 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
