trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	xx 	x 	x 	rdk 	2 	0 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
2 	xx 	x 	x 	rdk 	1 	0 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
3 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
4 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
5 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
6 	xx 	x 	x 	rdk 	2 	0 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
7 	xx 	x 	x 	rdk 	1 	0 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
8 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
9 	xx 	x 	x 	rdk 	2 	0 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
10 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
11 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
12 	xx 	x 	x 	rdk 	1 	1 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
13 	xx 	x 	x 	rdk 	2 	1 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
14 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
15 	xx 	x 	x 	rdk 	1 	0 	1 	3 	21 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.42
