trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
2 	RM 	x 	x 	rdk 	1 	0 	-1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
3 	RM 	x 	x 	rdk 	2 	1 	1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
4 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
5 	RM 	x 	x 	rdk 	2 	1 	1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
6 	RM 	x 	x 	rdk 	1 	1 	1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
7 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
8 	RM 	x 	x 	rdk 	1 	0 	1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
9 	RM 	x 	x 	rdk 	2 	1 	1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
10 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
11 	RM 	x 	x 	rdk 	1 	1 	1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
12 	RM 	x 	x 	rdk 	2 	1 	1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
13 	RM 	x 	x 	rdk 	2 	0 	-1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
14 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
15 	RM 	x 	x 	rdk 	2 	1 	1 	3 	20 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
16 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
17 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
18 	RM 	x 	x 	rdk 	1 	0 	1 	3 	4 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
19 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
20 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	8 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
21 	RM 	x 	x 	rdk 	1 	1 	1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
22 	RM 	x 	x 	rdk 	2 	1 	1 	3 	24 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
23 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	16 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
24 	RM 	x 	x 	rdk 	1 	1 	1 	3 	12 	5 	1 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
1 	RM 	x 	x 	rdk 	2 	0 	-1 	3 	8 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.16
2 	RM 	x 	x 	rdk 	1 	0 	1 	3 	4 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.08
3 	RM 	x 	x 	rdk 	2 	0 	-1 	3 	24 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
4 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	24 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.48
5 	RM 	x 	x 	rdk 	1 	1 	1 	3 	20 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
6 	RM 	x 	x 	rdk 	1 	1 	1 	3 	16 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.32
7 	RM 	x 	x 	rdk 	1 	0 	1 	3 	12 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
8 	RM 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.4
9 	RM 	x 	x 	rdk 	1 	1 	-1 	3 	12 	5 	2 	0 	static 	0 	0 	0 	60 	65 	60 	65 	0.24
